"ResponseId","HHResponseId","HHCODE","PERCODE","PERNAME","CHANGES_TEXT","VALUES_1","VALUES_2","VALUES_3","VALUES_4","VALUES_5","VALUES_6","VALUES_7","VALUES_8","VALUES_9","VALUES_EGO","VALUES_ALT","VALUES_BIO","ATT_ENVR_1","ATT_ENVR_2","ATT_ENVR_3","ATT_ENVR_4","ATT_ENVR_5","ATT_ENVR_6","ATT_ENVR_7","ATT_ENVR_8","ATT_ENVR_9","ATT_ENVR_10","ATT_ENVR_11","ATT_ENVR_12","ATT_ENVR_13","ATT_ENVR_14","ATT_ENVR_15","ATT_ENVR_16","ATT_ENVR","ATT_ENVR_TECH","ATT_HEALTH_1","ATT_HEALTH_2","ATT_HEALTH_3","ATT_HEALTH_4","ATT_HEALTH_5","ATT_HEALTH_6","ATT_HEALTH_7","ATT_HEALTH_8","ATT_HEALTH","NORMS_ME_1","NORMS_ME_2","NORMS_ME_3","NORMS_ME_4","NORMS_ME_SELF","NORMS_ME_SELF_NO","NORMS_ME_OTHERS","NORMS_ME_OTHERS_NO","NORMS_PEER_1","NORMS_PEER_2","NORMS_PEER_3","NORMS_PEER_4","NORMS_PEER_SELF","NORMS_PEER_SELF_NO","NORMS_PEER_OTHERS","NORMS_PEER_OTHERS_NO","NORMS_ORGS_1","NORMS_ORGS_2","NORMS_ORGS_3","NORMS_ORGS_4","NORMS_ORGS_SELF","NORMS_ORGS_SELF_NO","NORMS_ORGS_OTHERS","NORMS_ORGS_OTHERS_NO","SELFEFF_1","SELFEFF_2","SELFEFF_3","SELFEFF_4","SELFEFF_5","SELFEFF_6","SELFEFF","AQ_IMPACTS_1","AQ_IMPACTS_2","AQ_IMPACTS_3","AQ_IMPACTS_4","AQ_IMPACTS_5","AQ_CAUSES_1","AQ_CAUSES_2","AQ_CAUSES_3","AQ_CAUSES_4","AQ_CAUSES_5","AQ_ME_1","AQ_ME_2","AQ_ME_3","AQ_ME_4","AQ_ME_5","AQ_ME_6","AQ_PEER_1","AQ_PEER_2","AQ_PEER_3","AQ_PEER_4","AQ_ORGS_1","AQ_ORGS_2","AQ_ORGS_3","AQ_ORGS_4","IDLING_1","IDLING_2","IDLING_3","IDLING_4","IDLING_5","IDLING_6","IDLING_6_TEXT","IDLING_LOGAN","IDLING","IDLING_LOGAN2","BEHCHG_ME_1","BEHCHG_ME_2","BEHCHG_ME_3","BEHCHG_ME_4","BEHCHG_ME_5","BEHCHG_ME_6","BEHCHG_ME_7","BEHCHG_ME_8","BEHCHG_ME_8_TEXT","BEHCHG_ME_9","BEHCHG_ME","BEHCHG_ME_MODE","BEHCHG_ME_TRIP","BEHCHG_ME_IDLE","BEHCHG_POP_1","BEHCHG_POP_2","BEHCHG_POP_3","BEHCHG_POP_4","BEHCHG_POP_5","BEHCHG_POP_6","BEHCHG_POP_7","BEHCHG_POP_8","BEHCHG_POP_8_TEXT","BEHCHG_POP_9","BEHCHG_POP","BEHCHG_POP_MODE","BEHCHG_POP_TRIP","BEHCHG_POP_IDLE","SUPPORT_1","SUPPORT_2","SUPPORT_3","SUPPORT_4","SUPPORT_5","SUPPORT_6","SUPPORT_7","SUPPORT_8","SUPPORT","OTHER_IDEAS","ORGPROG_1","ORGPROG_2","ORGPROG_3","ORGPROG_4","ORGPROG_5","ORGPROG_6","ORGPROG","COMMENTS"
"R_2VKPd5gdYMaBniY","R_3hGZSFkL0C3QCio",1005,1,"","","Not at all important","Very important","Extremely important","Very important","Moderately important","Very important","Moderately important","Moderately important","Very important",2.33333333333333,2.66666666666667,2.33333333333333,"Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree",0.266666666666667,0.5,"Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Neither agree nor disagree",0.6,"About the same","Somewhat less","Somewhat more","Somewhat more",0.25,FALSE,0.5,FALSE,"About the same","Somewhat less","About the same","Somewhat more",0,FALSE,0.5,FALSE,"Much less","Much less","Much more","Much more",1,FALSE,1,FALSE,"Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree",0.166666666666667,"Moderately","Moderately","Moderately","A little","A little","A little","Moderately","A lot","A lot","Moderately","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Sometimes","Sometimes","Frequently","Rarely","Never","Never","","Idling for any length of time is prohibited during an inversion event.",0.333333333333333,"Wrong",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"",FALSE,3,FALSE,TRUE,TRUE,"<5%","<5%","<5%","20%","<5%","20%","20%","<5%","","<5%",0.114285714285714,0.05,0.15,0.2,"I would strongly support this","I might support this",NA,NA,NA,NA,NA,"I would never support this",0,"","Heard of it, but not familiar with it","Heard of it, but not familiar with it","Heard of it, but not familiar with it","Familiar with it","Familiar with it","Familiar with it",4.5,""
"R_cwlBDfSfLMpA9eF","R_3hGZSFkL0C3QCio",1005,2,"","","Moderately important","Very important","Moderately important","Very important","Very important","Very important","Moderately important","Slightly important","Very important",2.33333333333333,3,2,"Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree",0.2,0.5,"Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Strongly disagree",0.6,"About the same","Much less","Somewhat more","Somewhat more",0.25,FALSE,0.75,FALSE,"About the same","About the same","About the same","Somewhat more",0,FALSE,0.25,FALSE,"Much less","Much less","Somewhat more","Somewhat more",0.75,FALSE,0.75,FALSE,"Somewhat disagree","Somewhat disagree","Somewhat disagree","Strongly disagree","Strongly disagree","Somewhat disagree",-0.666666666666667,"A lot","A lot","A lot","Moderately","A little","No opinion","No opinion","Moderately","No opinion","No opinion","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Sometimes","Frequently","Rarely","Sometimes","Rarely","Never","",NA,0.375,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"",FALSE,1,FALSE,TRUE,FALSE,"<5%","<5%","<5%","20%","<5%","<5%","<5%","<5%","",NA,0.0714285714285714,0.05,0.1,0.05,"I would strongly support this",NA,"I might support this",NA,"I would never support this",NA,NA,NA,0,"","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Heard of it, but not familiar with it",0.5,""
"R_26c2HR5lAf6HqUz","R_2xQ2rUtv5W6xYHp",1006,1,"","","Moderately important","Very important","Very important","Very important","Moderately important","Very important","Very important","Very important","Very important",2.66666666666667,2.66666666666667,3,"Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat disagree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree",0.266666666666667,0,"Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat disagree",0.6,"Somewhat less","Somewhat less","Somewhat more","Somewhat more",0.5,FALSE,0.5,FALSE,"No opinion","About the same","About the same","About the same",0,FALSE,0,FALSE,"Somewhat less","Somewhat less","Somewhat more","Somewhat more",0.5,FALSE,0.5,FALSE,"Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree",0,"Moderately","Moderately","Moderately","Moderately","Moderately","A lot","A lot","A lot","A little","A lot","Strongly agree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Rarely","Rarely","Never","Never","Rarely",NA,"","Idling vehicles must not be left unattended.",0.15,"Wrong",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"",FALSE,3,TRUE,TRUE,TRUE,"20%","<5%","<5%","20%","<5%","<5%","20%","<5%","","<5%",0.114285714285714,0.1,0.1,0.2,"I would strongly support this","I would never support this","I would strongly support this","I might support this","I would strongly support this","I might support this","I would strongly support this","I might support this",0.375,"","Never heard of it","Never heard of it","Never heard of it","Familiar with it","Never heard of it","Never heard of it",1,""
"R_2AWFp90ng4mEPEn","R_2xQ2rUtv5W6xYHp",1006,2,"","","Moderately important","Slightly important","Extremely important","Extremely important","Extremely important","Extremely important","Very important","Moderately important","Very important",2.33333333333333,4,2.66666666666667,"Neither agree nor disagree","Somewhat agree","Strongly agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Strongly agree","Strongly disagree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly disagree","Strongly agree","Somewhat agree",0.466666666666667,0.5,"Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly disagree",0.7,"Somewhat less","Much less","Somewhat more","Somewhat more",0.5,FALSE,0.75,FALSE,"About the same","Somewhat less","Somewhat more","Somewhat more",0.25,FALSE,0.5,FALSE,"Somewhat less","Somewhat less","Somewhat more","Somewhat more",0.5,FALSE,0.5,FALSE,"Somewhat disagree","Somewhat disagree","Strongly disagree","Somewhat disagree","Strongly disagree","Neither agree nor disagree",-0.583333333333333,"A lot","A lot","A lot","A lot","Moderately","A lot","Moderately","A lot","A lot","Moderately","Strongly agree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Sometimes","Never","Rarely","Rarely","Rarely","Never","",NA,0.208333333333333,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"",FALSE,3,TRUE,FALSE,TRUE,"<5%","20%","20%","20%","20%","<5%","50%",NA,"",NA,0.2,0.15,0.15,0.5,"I would strongly support this","I would strongly support this","I would strongly support this",NA,NA,NA,NA,"I would never support this",0.5,"","Never heard of it","Never heard of it","Never heard of it","Heard of it, but not familiar with it","Never heard of it","Never heard of it",0.5,""
"R_1HcaPTxrg2TgOE2","R_DpzUHy4QMLbNo77",1007,1,"","","Moderately important","Slightly important","Moderately important","Very important","Very important","Very important","Very important","Very important","Very important",1.66666666666667,3,3,"Somewhat disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Strongly agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Strongly agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree",0.266666666666667,0.5,"Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat disagree",0.8,"About the same","About the same","Somewhat more","Somewhat more",0.25,FALSE,0.25,FALSE,"About the same","Somewhat less","Somewhat more","Somewhat more",0.25,FALSE,0.5,FALSE,"Somewhat less","Somewhat less","Somewhat more","Somewhat more",0.5,FALSE,0.5,FALSE,"Somewhat agree","Somewhat agree","Strongly disagree","Strongly agree","Strongly agree","Somewhat agree",0.416666666666667,"A lot","A little","Moderately","Moderately","Moderately","A lot","A lot","A lot","A lot","A lot","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Rarely","Rarely","Never","Rarely","Rarely",NA,"","I have no idea.",0.2,"Don't know",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"",FALSE,3,FALSE,TRUE,TRUE,"<5%","<5%","<5%","20%","<5%","20%","20%",NA,"",NA,0.114285714285714,0.05,0.15,0.2,"I would strongly support this","I would strongly support this","I would strongly support this","I might support this","I would strongly support this","I would strongly support this","I would strongly support this","I might support this",0.75,"","Never heard of it","Heard of it, but not familiar with it","Never heard of it","Heard of it, but not familiar with it","Never heard of it","Heard of it, but not familiar with it",1.5,""
"R_2VIONgThGc1576l","R_1MTdDARmpVYh870",1008,1,"","","Not at all important","Very important","Not at all important","Very important","Very important","Very important","Very important","Moderately important","Very important",1,3,2.66666666666667,"Strongly disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree",-0.133333333333333,0,"Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat disagree",0.7,"No opinion","Much more","About the same","About the same",0,FALSE,-0.5,FALSE,"No opinion","Much more","Somewhat more","Somewhat more",0.25,FALSE,-0.25,FALSE,"No opinion","No opinion","No opinion","No opinion",0,TRUE,0,TRUE,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree",1,"A lot","A lot","Moderately","Moderately","Moderately","Moderately","Moderately","A lot","A little","A lot","Strongly agree","Somewhat agree","No opinion","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","No opinion","No opinion","No opinion","No opinion","No opinion","No opinion","No opinion","No opinion",NA,NA,NA,NA,NA,NA,"","I have no idea.",NA,"Don't know",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE,2,TRUE,FALSE,FALSE,"20%","35%",">95%","<5%","<5%","<5%","<5%",NA,"",NA,0.242857142857143,0.5,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Never heard of it","Never heard of it","Never heard of it","Heard of it, but not familiar with it","Never heard of it","Never heard of it",0.5,""
"R_1r2n5bZS2T1VTXg","R_1MTdDARmpVYh870",1008,2,"","","Opposed to my values","Slightly important","Opposed to my values","Very important","Very important","Very important","Very important","Moderately important","Moderately important",-0.333333333333333,3,2.33333333333333,"Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Strongly disagree","Neither agree nor disagree",-0.1,0,"Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree",0.4,"Much less","About the same","Somewhat more","Somewhat more",0.75,FALSE,0.25,FALSE,"Much less","Somewhat more","Much more","Much more",1,FALSE,0.25,FALSE,"No opinion","No opinion","Much more","Much more",0.5,FALSE,0.5,FALSE,"Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree",0.416666666666667,"A lot","A lot","Moderately","Moderately","Moderately","A little","Moderately","Moderately","A little","A lot","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","No opinion","No opinion","No opinion","No opinion","Never","Never","Sometimes","Rarely","Never",NA,"","Idling for any length of time is prohibited during an inversion event.",0.15,"Wrong",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE,2,TRUE,FALSE,FALSE,"20%","35%","<5%","<5%","<5%","<5%","<5%",NA,"",NA,0.114285714285714,0.2,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Heard of it, but not familiar with it","Never heard of it","Heard of it, but not familiar with it","Never heard of it","Never heard of it","Never heard of it",1,""
"R_5pECFIFOrXYn4Vr","R_1MTdDARmpVYh870",1008,3,"","","Moderately important","Slightly important","Very important","Very important","Very important","Very important","Very important","Very important","Very important",2,3,3,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree",-0.0666666666666667,-0.5,"Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree",0.6,"Much more","About the same","Much more","No opinion",0,FALSE,0,FALSE,"About the same","No opinion","About the same","About the same",0,FALSE,0,FALSE,"No opinion","No opinion","No opinion","No opinion",0,TRUE,0,TRUE,"Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat disagree",-0.916666666666667,"A lot","A lot","Moderately","Moderately","No opinion","Moderately","A lot","A lot","A lot","A lot","Strongly agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Frequently","Frequently","Frequently","Sometimes",NA,"Rarely","","I have no idea.",0.6,"Don't know",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"",FALSE,2,FALSE,TRUE,FALSE,"<5%","<5%","<5%","80%","<5%","80%","<5%",NA,"",NA,0.264285714285714,0.05,0.55,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Never heard of it","Never heard of it","Heard of it, but not familiar with it","Never heard of it","Never heard of it","Never heard of it",0.5,""
"R_239NwMW3PmBtPKJ","R_2SCTUZmfRxhkn0O",1009,1,"","","Moderately important","Extremely important","Very important","Very important","Very important","Very important","Very important","Very important","Very important",3,3,3,"Strongly disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Strongly disagree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Strongly disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree",-0.5,0.5,"Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree",0.6,"No opinion","No opinion","No opinion","No opinion",0,TRUE,0,TRUE,"No opinion","No opinion","No opinion","No opinion",0,TRUE,0,TRUE,"Somewhat less","Somewhat less","Somewhat more","Somewhat more",0.5,FALSE,0.5,FALSE,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree",1,"A lot","A lot","A lot","A lot","A lot","A lot","A lot","A lot","A lot","No opinion","Somewhat agree","No opinion","No opinion","No opinion","No opinion","No opinion","No opinion","No opinion","No opinion","No opinion","No opinion","No opinion","No opinion","No opinion","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","","I have no idea.",0.25,"Don't know",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",TRUE,0,FALSE,FALSE,FALSE,"<5%","<5%","<5%","<5%","<5%","<5%","<5%","<5%","","<5%",0.05,0.05,0.05,0.05,"I would strongly support this","I would strongly support this","I would strongly support this","I would never support this","I would never support this","I would never support this","I would never support this","I would never support this",-0.25,"","Never heard of it","Never heard of it","Never heard of it","Heard of it, but not familiar with it","Never heard of it","Never heard of it",0.5,""
"R_Caa1eFt5MeVMaXv","R_2SCTUZmfRxhkn0O",1009,2,"","","Slightly important","Moderately important","Slightly important","Moderately important","Extremely important","Very important","Slightly important","Moderately important","Moderately important",1.33333333333333,3,1.66666666666667,"Strongly disagree","Strongly agree","Strongly disagree","Neither agree nor disagree","Strongly disagree","Strongly agree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree",-0.533333333333333,0.5,"Somewhat agree","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree",0.4,"No opinion","No opinion","No opinion","No opinion",0,TRUE,0,TRUE,"No opinion","No opinion","No opinion","No opinion",0,TRUE,0,TRUE,"No opinion","No opinion","No opinion","No opinion",0,TRUE,0,TRUE,"Strongly agree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree",-0.166666666666667,"A lot","A lot","A lot","A lot","A lot","A lot","A little","A lot","A little","Moderately","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","No opinion","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","","I have no idea.",0.25,"Don't know",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"",TRUE,0,FALSE,FALSE,FALSE,"<5%","<5%","<5%","<5%","<5%","<5%","<5%","<5%","","<5%",0.05,0.05,0.05,0.05,"I would strongly support this","I would strongly support this","I would strongly support this","I would never support this","I would never support this","I would never support this","I would strongly support this","I would never support this",0,"","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it","Never heard of it",0,""
