"ResponseId","HHResponseId","HHCODE","PERCODE","PERNAME","DIARY","DATE","PLANO","PLACE","PLACE_NAME","PLACE_STREET","PLACE_CITY","PLOC0","PLOC","PLOC_LAT","PLOC_LNG","PLOC_ADD","PLOC_PID","PLOC_APPROX","PLOC_GEOID","ARR_HOUR","ARR_MIN","ARR_AMPM","ARR_TIME","ACTIVITY","ACTIVITY_TEXT","LEAVE","NOTRIPS","NOTRIPS_TEXT","DEP_HOUR","DEP_MIN","DEP_AMPM","DEP_TIME","ACT_TIME","MODE","MODE_TEXT","PEOPLE","VEHICLE","VEHICLE_TEXT"
"R_vlx4Lybl7VfrwvD","R_31azKpDQ6qViwuL",1002,1,"","DIARY12",2019-01-14,1,"Home","","","","","",NA,NA,"","",FALSE,"490050010021",3,0,"AM",2019-01-14 03:00:00,"Home activities","","Yes",NA,"",2,15,"PM",2019-01-14 14:15:00,675,"Car/Van/Truck/SUV Driver","","0 (none)","Primary household vehicle",""
"R_vlx4Lybl7VfrwvD","R_31azKpDQ6qViwuL",1002,1,"","DIARY12",2019-01-14,2,"Primary job","","","","","",NA,NA,"","",FALSE,"490050010022",2,25,"PM",2019-01-14 14:25:00,"Work activities","","Yes",NA,"",6,0,"PM",2019-01-14 18:00:00,215,"Car/Van/Truck/SUV Driver","","0 (none)","Primary household vehicle",""
"R_vlx4Lybl7VfrwvD","R_31azKpDQ6qViwuL",1002,1,"","DIARY12",2019-01-14,3,"Home","","","","","",NA,NA,"","",FALSE,"490050010021",6,5,"PM",2019-01-14 18:05:00,"Home activities","","No",NA,"",3,0,"AM",2019-01-15 03:00:00,535,NA,"",NA,NA,""
"R_3QESmHQj2hBLFT0","R_31azKpDQ6qViwuL",1002,1,"","DIARY12",2019-01-15,1,"Home","","","","","",NA,NA,"","",FALSE,"490050010021",3,0,"AM",2019-01-15 03:00:00,"Home activities","","Yes",NA,"",11,25,"AM",2019-01-15 11:25:00,505,"Car/Van/Truck/SUV Driver","","1","Primary household vehicle",""
"R_3QESmHQj2hBLFT0","R_31azKpDQ6qViwuL",1002,1,"","DIARY12",2019-01-15,2,"Other place","","","","","",NA,NA,"","",FALSE,"490050004011",11,35,"AM",2019-01-15 11:35:00,"Eat meal at restaurant","","Yes",NA,"",12,10,"PM",2019-01-15 12:10:00,35,"Car/Van/Truck/SUV Driver","","1","Primary household vehicle",""
"R_3QESmHQj2hBLFT0","R_31azKpDQ6qViwuL",1002,1,"","DIARY12",2019-01-15,3,"Home","","","","","",NA,NA,"","",FALSE,"490050010021",12,20,"PM",2019-01-15 12:20:00,"Home activities","","Yes",NA,"",2,20,"PM",2019-01-15 14:20:00,120,"Car/Van/Truck/SUV Driver","","0 (none)","Primary household vehicle",""
"R_3QESmHQj2hBLFT0","R_31azKpDQ6qViwuL",1002,1,"","DIARY12",2019-01-15,4,"Primary job","","","","","",NA,NA,"","",FALSE,"490050010022",2,25,"PM",2019-01-15 14:25:00,"Work activities","","Yes",NA,"",6,0,"PM",2019-01-15 18:00:00,215,"Car/Van/Truck/SUV Driver","","0 (none)","Primary household vehicle",""
"R_3QESmHQj2hBLFT0","R_31azKpDQ6qViwuL",1002,1,"","DIARY12",2019-01-15,5,"Home","","","","","",NA,NA,"","",FALSE,"490050010021",6,5,"PM",2019-01-15 18:05:00,"Home activities","","No",NA,"",3,0,"AM",2019-01-16 03:00:00,535,NA,"",NA,NA,""
"R_ZpXvpFzaj9lheIp","R_31azKpDQ6qViwuL",1002,1,"","DIARY12",2019-01-16,1,"Home","","","","","",NA,NA,"","",FALSE,"490050010021",3,0,"AM",2019-01-16 03:00:00,"Home activities","","Yes",NA,"",9,35,"AM",2019-01-16 09:35:00,395,"Car/Van/Truck/SUV Driver","","1","Primary household vehicle",""
"R_ZpXvpFzaj9lheIp","R_31azKpDQ6qViwuL",1002,1,"","DIARY12",2019-01-16,2,"Other place","","","","","",NA,NA,"","",FALSE,"490050008003",9,45,"AM",2019-01-16 09:45:00,"Shopping (groceries, clothing, convenience store, etc)","","Yes",NA,"",10,10,"AM",2019-01-16 10:10:00,25,"Car/Van/Truck/SUV Driver","","0 (none)","Primary household vehicle",""
