"ResponseId","HHResponseId","HHCODE","PERCODE","PERNAME","DIARY","DATE","PLANO1","PLACE1","ACTIVITY1","PLOC1","PLOC1_PID","PLOC1_LAT","PLOC1_LNG","PLOC1_APPROX","PLOC1_GEOID","DEP_TIME","MODE","PEOPLE","VEHICLE","PLANO2","PLACE2","ACTIVITY2","PLOC2","PLOC2_PID","PLOC2_LAT","PLOC2_LNG","PLOC2_APPROX","PLOC2_GEOID","ARR_TIME","TRIP_TIME","DIST_D","DIST_W","DIST_B","DIST_T","TIME_D","TIME_W","TIME_B","TIME_T","TEXT_T","DIST","TIME"
"R_vlx4Lybl7VfrwvD","R_31azKpDQ6qViwuL",1002,1,"","DIARY12",2019-01-14,1,"Home","Home activities","","",NA,NA,FALSE,"490050010021",2019-01-14 14:15:00,"Car/Van/Truck/SUV Driver","0 (none)","Primary household vehicle",2,"Primary job","Work activities","","",NA,NA,FALSE,"490050010022",2019-01-14 14:25:00,10,0.534379225324107,0.532515111747395,0.53375785413187,NA,1.86666666666667,10.5833333333333,2.4,NA,"transit_not_in_trek",0.534379225324107,1.86666666666667
"R_vlx4Lybl7VfrwvD","R_31azKpDQ6qViwuL",1002,1,"","DIARY12",2019-01-14,2,"Primary job","Work activities","","",NA,NA,FALSE,"490050010022",2019-01-14 18:00:00,"Car/Van/Truck/SUV Driver","0 (none)","Primary household vehicle",3,"Home","Home activities","","",NA,NA,FALSE,"490050010021",2019-01-14 18:05:00,5,0.534379225324107,0.532515111747395,0.53375785413187,NA,1.95,10.7666666666667,2.61666666666667,NA,"transit_not_in_trek",0.534379225324107,1.95
"R_3QESmHQj2hBLFT0","R_31azKpDQ6qViwuL",1002,1,"","DIARY12",2019-01-15,1,"Home","Home activities","","",NA,NA,FALSE,"490050010021",2019-01-15 11:25:00,"Car/Van/Truck/SUV Driver","1","Primary household vehicle",2,"Other place","Eat meal at restaurant","","",NA,NA,FALSE,"490050004011",2019-01-15 11:35:00,10,2.08035075161059,2.03064105623161,2.133788674143,2.20897458840372,6.63333333333333,40.7833333333333,11.7166666666667,18.6666666666667,"",2.08035075161059,6.63333333333333
"R_3QESmHQj2hBLFT0","R_31azKpDQ6qViwuL",1002,1,"","DIARY12",2019-01-15,2,"Other place","Eat meal at restaurant","","",NA,NA,FALSE,"490050004011",2019-01-15 12:10:00,"Car/Van/Truck/SUV Driver","1","Primary household vehicle",3,"Home","Home activities","","",NA,NA,FALSE,"490050010021",2019-01-15 12:20:00,10,2.06730195657361,2.03064105623161,2.11017656883799,2.24998508709139,7.26666666666667,40.8666666666667,11.7,17.9666666666667,"",2.06730195657361,7.26666666666667
"R_3QESmHQj2hBLFT0","R_31azKpDQ6qViwuL",1002,1,"","DIARY12",2019-01-15,3,"Home","Home activities","","",NA,NA,FALSE,"490050010021",2019-01-15 14:20:00,"Car/Van/Truck/SUV Driver","0 (none)","Primary household vehicle",4,"Primary job","Work activities","","",NA,NA,FALSE,"490050010022",2019-01-15 14:25:00,5,0.534379225324107,0.532515111747395,0.53375785413187,NA,1.86666666666667,10.5833333333333,2.4,NA,"transit_not_in_trek",0.534379225324107,1.86666666666667
"R_3QESmHQj2hBLFT0","R_31azKpDQ6qViwuL",1002,1,"","DIARY12",2019-01-15,4,"Primary job","Work activities","","",NA,NA,FALSE,"490050010022",2019-01-15 18:00:00,"Car/Van/Truck/SUV Driver","0 (none)","Primary household vehicle",5,"Home","Home activities","","",NA,NA,FALSE,"490050010021",2019-01-15 18:05:00,5,0.534379225324107,0.532515111747395,0.53375785413187,NA,1.95,10.7666666666667,2.61666666666667,NA,"transit_not_in_trek",0.534379225324107,1.95
"R_ZpXvpFzaj9lheIp","R_31azKpDQ6qViwuL",1002,1,"","DIARY12",2019-01-16,1,"Home","Home activities","","",NA,NA,FALSE,"490050010021",2019-01-16 09:35:00,"Car/Van/Truck/SUV Driver","1","Primary household vehicle",2,"Other place","Shopping (groceries, clothing, convenience store, etc)","","",NA,NA,FALSE,"490050008003",2019-01-16 09:45:00,10,0.910930167819932,0.89974548635966,0.910930167819932,1.04638908772767,3.68333333333333,18.8166666666667,6.43333333333333,10,"",0.910930167819932,3.68333333333333
"R_ZpXvpFzaj9lheIp","R_31azKpDQ6qViwuL",1002,1,"","DIARY12",2019-01-16,2,"Other place","Shopping (groceries, clothing, convenience store, etc)","","",NA,NA,FALSE,"490050008003",2019-01-16 10:10:00,"Car/Van/Truck/SUV Driver","0 (none)","Primary household vehicle",3,"Other place","Shopping (groceries, clothing, convenience store, etc)","","",NA,NA,FALSE,"490050006002",2019-01-16 10:25:00,15,1.09796289668337,0.988601566849598,0.988601566849598,1.22037302155412,3.98333333333333,19.35,4.6,7.78333333333333,"",1.09796289668337,3.98333333333333
"R_ZpXvpFzaj9lheIp","R_31azKpDQ6qViwuL",1002,1,"","DIARY12",2019-01-16,3,"Other place","Shopping (groceries, clothing, convenience store, etc)","","",NA,NA,FALSE,"490050006002",2019-01-16 10:35:00,"Car/Van/Truck/SUV Driver","0 (none)","Primary household vehicle",4,"Home","Home activities","","",NA,NA,FALSE,"490050010021",2019-01-16 10:40:00,5,1.56150580609242,1.53167998886503,1.5378937007874,1.85789986478963,5.23333333333333,30.65,8.93333333333333,15.4833333333333,"",1.56150580609242,5.23333333333333
"R_ZpXvpFzaj9lheIp","R_31azKpDQ6qViwuL",1002,1,"","DIARY12",2019-01-16,4,"Home","Home activities","","",NA,NA,FALSE,"490050010021",2019-01-16 14:20:00,"Car/Van/Truck/SUV Driver","0 (none)","Primary household vehicle",5,"Primary job","Work activities","","",NA,NA,FALSE,"490050010022",2019-01-16 14:25:00,5,0.534379225324107,0.532515111747395,0.53375785413187,NA,1.86666666666667,10.5833333333333,2.4,NA,"transit_not_in_trek",0.534379225324107,1.86666666666667
